id,rs,mvol,bd,porosity,clay,org,ra,paper,climate,vegetation,treatment,hydro_alpha,hydro_n,hydro_thetaS,hydro_thetaR,mp
Cedao,0.2,0.09,1.45,0.452830189,0.17,0.011,0.041,Bulter et al,tropical,tall_woodland,control,0.021,2.39,0.45,0.067,2743.062154
Cedao,0.2,0.09,1.45,0.452830189,0.17,0.011,0.106,Bulter et al,tropical,tall_woodland,control,0.021,2.39,0.45,0.067,2187.728832
Cedao,0.21,0.09,1.45,0.452830189,0.17,0.011,0.055,Bulter et al,tropical,tall_woodland,control,0.021,2.39,0.45,0.067,1968.552809
Cedao,0.22,0.1,1.45,0.452830189,0.17,0.011,0.155,Bulter et al,tropical,tall_woodland,control,0.021,2.39,0.45,0.067,1450.255314
Cedao,0.24,0.11,1.45,0.452830189,0.17,0.011,0.335,Bulter et al,tropical,tall_woodland,control,0.021,2.39,0.45,0.067,971.60924
Cedao,0.35,0.16,1.45,0.452830189,0.17,0.011,1,Bulter et al,tropical,tall_woodland,control,0.021,2.39,0.45,0.067,214.9684641
Cedao,0.36,0.17,1.45,0.452830189,0.17,0.011,0.604,Bulter et al,tropical,tall_woodland,control,0.021,2.39,0.45,0.067,187.5997285
Cedao,0.43,0.19,1.45,0.452830189,0.17,0.011,0.494,Bulter et al,tropical,tall_woodland,control,0.021,2.39,0.45,0.067,114.5933426
Cedao,0.44,0.2,1.45,0.452830189,0.17,0.011,0.645,Bulter et al,tropical,tall_woodland,control,0.021,2.39,0.45,0.067,107.5414803
Cedao,0.44,0.2,1.45,0.452830189,0.17,0.011,0.76,Bulter et al,tropical,tall_woodland,control,0.021,2.39,0.45,0.067,103.4413477
Cedo,0.19,0.08,1.45,0.452830189,0.17,0.011,0.089,Bulter et al,tropical,woody savanna,control,0.021,2.39,0.45,0.067,3937.652212
Cedo,0.2,0.09,1.45,0.452830189,0.17,0.011,0.065,Bulter et al,tropical,woody savanna,control,0.021,2.39,0.45,0.067,2349.874395
Cedo,0.22,0.1,1.45,0.452830189,0.17,0.011,0.087,Bulter et al,tropical,woody savanna,control,0.021,2.39,0.45,0.067,1297.114234
Cedo,0.23,0.1,1.45,0.452830189,0.17,0.011,0.2,Bulter et al,tropical,woody savanna,control,0.021,2.39,0.45,0.067,1143.56332
Cedo,0.31,0.14,1.45,0.452830189,0.17,0.011,0.672,Bulter et al,tropical,woody savanna,control,0.021,2.39,0.45,0.067,312.4391366
Cedo,0.36,0.16,1.45,0.452830189,0.17,0.011,0.46,Bulter et al,tropical,woody savanna,control,0.021,2.39,0.45,0.067,198.9357847
Cedo,0.37,0.17,1.45,0.452830189,0.17,0.011,0.783,Bulter et al,tropical,woody savanna,control,0.021,2.39,0.45,0.067,185.9919789
Cedo,0.42,0.19,1.45,0.452830189,0.17,0.011,1,Bulter et al,tropical,woody savanna,control,0.021,2.39,0.45,0.067,116.8811835
Cedo,0.45,0.2,1.45,0.452830189,0.17,0.011,0.939,Bulter et al,tropical,woody savanna,control,0.021,2.39,0.45,0.067,97.26922537
Cedo,0.46,0.21,1.45,0.452830189,0.17,0.011,0.728,Bulter et al,tropical,woody savanna,control,0.021,2.39,0.45,0.067,92.05778585
droughtCK,0.18,0.08,1.43,0.460377358,0.24,0.012,0.111411707,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,10941.20085
droughtCK,0.21,0.09,1.43,0.460377358,0.24,0.012,0.100344319,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,7964.611317
droughtCK,0.21,0.1,1.43,0.460377358,0.24,0.012,0.171421545,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,7244.666204
droughtCK,0.21,0.09,1.43,0.460377358,0.24,0.012,0.230201672,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,8036.943695
droughtCK,0.23,0.11,1.43,0.460377358,0.24,0.012,0.219380226,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,5501.517738
droughtCK,0.23,0.11,1.43,0.460377358,0.24,0.012,0.101328087,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,5457.922519
droughtCK,0.26,0.12,1.43,0.460377358,0.24,0.012,0.12567634,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,4244.753374
droughtCK,0.24,0.11,1.43,0.460377358,0.24,0.012,0.31406788,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,5072.409992
droughtCK,0.2,0.09,1.43,0.460377358,0.24,0.012,0.360059026,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,8110.159569
droughtCK,0.2,0.09,1.43,0.460377358,0.24,0.012,0.43089031,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,8134.763547
droughtCK,0.17,0.08,1.43,0.460377358,0.24,0.012,0.500737826,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,12641.37055
droughtCK,0.27,0.12,1.43,0.460377358,0.24,0.012,0.385759961,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,3820.249265
droughtCK,0.29,0.14,1.43,0.460377358,0.24,0.012,0.351328087,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,2829.021896
droughtCK,0.28,0.13,1.43,0.460377358,0.24,0.012,0.279881948,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,3380.475137
droughtCK,0.32,0.15,1.43,0.460377358,0.24,0.012,0.269429415,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,2291.106976
droughtCK,0.35,0.16,1.43,0.460377358,0.24,0.012,0.234997541,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,1770.38227
droughtCK,0.3,0.14,1.43,0.460377358,0.24,0.012,0.552385637,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,2567.928819
droughtCK,0.34,0.16,1.43,0.460377358,0.24,0.012,0.588908018,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,1911.693694
droughtCK,0.33,0.15,1.43,0.460377358,0.24,0.012,0.48241515,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,2028.391639
droughtCK,0.33,0.15,1.43,0.460377358,0.24,0.012,0.42338908,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,2024.484744
droughtCK,0.36,0.17,1.43,0.460377358,0.24,0.012,0.436301033,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,1534.069626
droughtCK,0.41,0.19,1.43,0.460377358,0.24,0.012,0.284308903,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,1087.815487
droughtCK,0.39,0.18,1.43,0.460377358,0.24,0.012,0.189252336,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,1242.975297
droughtCK,0.45,0.21,1.43,0.460377358,0.24,0.012,0.226758485,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,794.5437925
droughtCK,0.51,0.23,1.43,0.460377358,0.24,0.012,0.429414658,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,544.8878355
droughtCK,0.52,0.24,1.43,0.460377358,0.24,0.012,0.15826365,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,504.3925263
droughtCK,0.39,0.18,1.43,0.460377358,0.24,0.012,0.756025578,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,1234.67915
droughtCK,0.4,0.19,1.43,0.460377358,0.24,0.012,0.886374816,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,1110.997641
droughtCK,0.46,0.21,1.43,0.460377358,0.24,0.012,0.805459911,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,771.1625467
droughtCK,0.45,0.21,1.43,0.460377358,0.24,0.012,0.651746188,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,806.5602516
droughtCK,0.48,0.22,1.43,0.460377358,0.24,0.012,0.830054107,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,635.2626252
droughtCK,0.54,0.25,1.43,0.460377358,0.24,0.012,0.631210034,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,447.0032995
droughtCK,0.57,0.26,1.43,0.460377358,0.24,0.012,0.77385637,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,376.0472937
droughtCK,0.56,0.26,1.43,0.460377358,0.24,0.012,0.903344811,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,403.3203308
droughtCK,0.62,0.29,1.43,0.460377358,0.24,0.012,0.846532218,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,272.2447159
droughtCK,0.62,0.29,1.43,0.460377358,0.24,0.012,1,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,273.6466813
droughtCK,0.68,0.31,1.43,0.460377358,0.24,0.012,0.48,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,194.5898156
droughtCK,0.71,0.33,1.43,0.460377358,0.24,0.012,0.54,Liu,tropical,savanna,control,0.0078,1.5494,0.48,0,160.4608575
droughtPE3,0.15,0.07,1.43,0.460377358,0.24,0.012,0.459319976,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,18836.38203
droughtPE3,0.15,0.07,1.43,0.460377358,0.24,0.012,0.35154827,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,18646.7169
droughtPE3,0.15,0.07,1.43,0.460377358,0.24,0.012,0.17911354,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,18348.57279
droughtPE3,0.17,0.08,1.43,0.460377358,0.24,0.012,0.02944748,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,12889.80533
droughtPE3,0.19,0.09,1.43,0.460377358,0.24,0.012,0.138129933,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,10320.65134
droughtPE3,0.21,0.1,1.43,0.460377358,0.24,0.012,0.182756527,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,7303.659719
droughtPE3,0.24,0.11,1.43,0.460377358,0.24,0.012,0.292046145,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,5381.202026
droughtPE3,0.21,0.09,1.43,0.460377358,0.24,0.012,0.419550698,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,7936.274963
droughtPE3,0.26,0.12,1.43,0.460377358,0.24,0.012,0.35822708,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,4068.795999
droughtPE3,0.26,0.12,1.43,0.460377358,0.24,0.012,0.50941105,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,3888.301821
droughtPE3,0.29,0.14,1.43,0.460377358,0.24,0.012,0.44656952,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,2858.296188
droughtPE3,0.29,0.14,1.43,0.460377358,0.24,0.012,0.295689132,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,2836.922309
droughtPE3,0.3,0.14,1.43,0.460377358,0.24,0.012,0.619611415,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,2620.576629
droughtPE3,0.33,0.15,1.43,0.460377358,0.24,0.012,0.254705525,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,2054.44776
droughtPE3,0.35,0.16,1.43,0.460377358,0.24,0.012,0.191256831,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,1728.387653
droughtPE3,0.38,0.18,1.43,0.460377358,0.24,0.012,0.214936248,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,1309.278049
droughtPE3,0.43,0.2,1.43,0.460377358,0.24,0.012,0.411961141,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,915.4911338
droughtPE3,0.45,0.21,1.43,0.460377358,0.24,0.012,0.240437158,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,820.5688786
droughtPE3,0.39,0.18,1.43,0.460377358,0.24,0.012,0.668184578,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,1235.198828
droughtPE3,0.38,0.17,1.43,0.460377358,0.24,0.012,0.839708561,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,1395.135638
droughtPE3,0.43,0.2,1.43,0.460377358,0.24,0.012,0.735579842,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,894.4949403
droughtPE3,0.48,0.22,1.43,0.460377358,0.24,0.012,0.802975106,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,662.9656238
droughtPE3,0.51,0.23,1.43,0.460377358,0.24,0.012,0.891013965,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,549.1294843
droughtPE3,0.53,0.24,1.43,0.460377358,0.24,0.012,1,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,486.7722369
droughtPE3,0.55,0.25,1.43,0.460377358,0.24,0.012,0.914996964,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,429.8679529
droughtPE3,0.57,0.26,1.43,0.460377358,0.24,0.012,0.35,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,362.8031117
droughtPE3,0.66,0.3,1.43,0.460377358,0.24,0.012,0.51,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,223.1347053
droughtPE5,0.15,0.07,1.43,0.460377358,0.24,0.012,0.07232267,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,19570.25083
droughtPE5,0.15,0.07,1.43,0.460377358,0.24,0.012,0.333333333,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,20396.27291
droughtPE5,0.17,0.08,1.43,0.460377358,0.24,0.012,0.459898006,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,12866.92427
droughtPE5,0.15,0.07,1.43,0.460377358,0.24,0.012,0.140009272,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,18151.98812
droughtPE5,0.17,0.08,1.43,0.460377358,0.24,0.012,0.271673621,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,12866.92427
droughtPE5,0.2,0.09,1.43,0.460377358,0.24,0.012,0.339360223,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,8205.614479
droughtPE5,0.19,0.09,1.43,0.460377358,0.24,0.012,0.532684284,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,10186.41306
droughtPE5,0.23,0.11,1.43,0.460377358,0.24,0.012,0.277236903,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,5556.139025
droughtPE5,0.23,0.11,1.43,0.460377358,0.24,0.012,0.471488178,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,5908.727919
droughtPE5,0.25,0.11,1.43,0.460377358,0.24,0.012,0.700509968,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,4653.22791
droughtPE5,0.27,0.13,1.43,0.460377358,0.24,0.012,0.313398238,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,3536.974401
